id,document,split
7cda10f482fb45a78713839f0b4c1324,"
Product ID: B000NWD020
Title: Yardley of London Moisturizing Soap Sweet Summer Aloe and Avocado 3+1
Average Rating: 4.1
Number of Ratings: 19
Features: ['Fresh Aloe & Avocado with Creamy Avocado & Olive Oil Extracts', 'The actual product may be different than product image']
Description: ['INDICATIONS: A light, refreshing scent of aloe with a hint of sweet cucumber. This gentle soap contains aloe vera to help soothe and heal the skin. Not tested on animals.']
Price: 12.45
Store: Yardley
Details: {""Item Form"": ""Cream"", ""Skin Type"": ""Dry"", ""Brand"": ""Yardley"", ""Scent"": ""Cucumber,Avocado"", ""Age Range (Description)"": ""Senior,Adult,Tween,Teen,Child"", ""Is Discontinued By Manufacturer"": ""No"", ""Item model number"": ""LORNAMEAD866673"", ""UPC"": ""041840873713"", ""Manufacturer"": ""Yardley""}
Review Text: My daughter uses this soap for my grandson's acute excema!  It works wonders!  It clears his skin right up, and it smells good too!  LOVE THIS SOAP! Typical of Yardley, a nicely scented soap that I look forward to using.  I would buy it, or any Yardley soap again (love the lemon and lavender scents too,)  They make me feel refreshed. Great soap with light scent. Decent price. Smells wonderful, great as a skin moisturizer.  Shipped QUICKLY and the price was definitely right.  I will buy this again. I will never order this product again!! This soap makes my skin dry out!!! It smells great though, but smell is not everything. Great product I was disappointed to see them sold in my local dollar store. *sigh* I was disappointed to see them sold in my local dollar store. *sigh*
",train
6bd20d83e2774311aa043b09e072af7c,"
Product ID: B0011DN60Q
Title: Magick Botanicals Conditioner for Thinning Hair Fragrance Free - 16 fl oz
Average Rating: 3.8
Number of Ratings: 16
Features: ['<b>Name </b> Conditioner Thin Hair Fragrance Free', '<b>Quantity </b> 16 OZ']
Description: ['Formula for healthy hair and scalp, safe for the chemically sensitive and colored or treated hair.']
Price: 22.89
Store: Magick Botanicals
Details: {""Product Dimensions"": ""2.5 x 2.5 x 8.5 inches; 13.6 Ounces"", ""Item model number"": ""000469008012"", ""UPC"": ""000469008012 000469008005"", ""Manufacturer"": ""Magick Botanicals""}
Review Text: Always love their products. Little pricey though. No allergens to bother my scalp.  Made my hair soft and full.  I highly recommend this conditioner for anyone with sensitive skin or skin allergies. This company ran by women has made a wonderfully thick and effective non toxic series - this conditioner Ive been using for 10 years since developing an issue with many products after being poisoned.  I simply love this product, my go to hair product.  Many comment on my full head of long grey hair, thick at 62, My wife bought this more for the ingredients than the hair loss factor.<br />She is struggling with hair loss, has not used this product long enough to be able to judge long term change.<br />She has bad allergies to.. Well everything!<br />Being a fragrance free allergen free product this has performed well. With no reactions. It adds quite a bit of volume and fullness. Her hair has not looked so full and thick in several years.<br />This is now her primary goto product at a cost much lower than product we have previously tried. This is a great everyday conditioner for anyone with fine hair. If you need fragrance-free hair products, this is a great brand to buy. I have used the regular shampoo for years, but my store is always out of it.  I looked online and saw there was a conditioner for thinning hair.  I liked this because it seemed thick and it did condition my hair better than other products.  I am pleased with it.  There aren’t many fragrance free conditioners available so it is great to find one that is so good. This conditioner is good in the fact that it doesn't have fragrances, parabens, etc. and is gentle for chemically sensitive, but it is very thin and watery for a conditioner. Desert Organics Fragrance Free is much thicker and better, but more expensive per oz. I guess I will be buying the more expensive one from now on.
",train
1cac0d032ff142b2b6b1ef3d07ebbdb7,"
Product ID: B001MP47WE
Title: Supernail China Silk Wrap, 72 Inch
Average Rating: 4.2
Number of Ratings: 786
Features: ['Provides added strength and protection', 'Made of 100% pure silk', 'Comes in 72 inch roll']
Description: ['Supernail china silk wrap is made from 100% pure silk that provides added strength and protection.']
Price: 6.47
Store: SuperNail
Details: {""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""2 x 4 x 5 inches; 0.63 Ounces"", ""Item model number"": ""51010"", ""UPC"": ""073930510109"", ""Manufacturer"": ""Supernail""}
Review Text: Worked fine. This is my first time using plain silk wrap and I love it!  I started using the self adhesive silk tabs to fix cracks and they worked great so I wrapped all my nails but I had to keep buying them. So I upgraded to this. I'm so glad I did. Yes it takes longer to do my nails now but it's so totally worth it. I wrap my nails every week or so and there's still so much of it left! I will not buy anything else, EVER! This product is great for mending broken and cracked nails, but it is a little difficult to cut the silk to the right size. Too thick for me. This silk wrap has been very hard for me to find so I was super excited when I saw it on amazon. It seems everyone has the pre-cut ""stickers"" but it's hard to find the silk strips like these. Product arrived nicely packaged and there is a lot of silk in there but on one of the strips it has been cut and sewed together on a diagonal which means you cannot use that whole area (about 3 inches long), at least not the way I apply my silk. This was disappointing, but the rest of the silk is usable. Used as directed, fell of in 24 hours.  I was hoping to find something to strengthen my nails, as I use them a lot for arts and crafts.  Fake nails damage my nails, so I was hoping this would be an alternative, but now I'll just be using it for...arts and crafts. Does what it says! My daughter uses this to repair broken nails. She loves it Works well. My daughter loves her nails and keeping them long. She also loves basketball and being active. See where this is going? She broke a nail and we used this plus gel polish to repair the nail until the length had grown out. It is strong, thin, easy to use, and sheer enough that it looked natural.
",train
ddcc12c98b4346e6b47c2340e296904e,"
Product ID: B002EV3JBU
Title: Stage Blood 4 oz
Average Rating: 4.7
Number of Ratings: 158
Features: []
Description: ['STAGE BLOOD: Graphically real for all genres. Authentic, vivid arterial coloring in a medium viscosity. Corn syrup based, peppermint flavor is safe for use in the mouth. Washes from most fabrics and surfaces; test before use. Expect 12-30 applications']
Price: 31.73
Store: Ben Nye
Details: {""Brand"": ""Ben Nye"", ""Package Information"": ""Bottle"", ""Package Type"": ""Bottle"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""4.37 x 2.87 x 1.89 inches; 6.74 Ounces"", ""Item model number"": ""SB-45"", ""UPC"": ""794168381186 784779006288"", ""Manufacturer"": ""Ben Nye""}
Review Text: This product is amazing!!!!! I have always used Ben NYE products for Halloween, and this brand continues to exceed my expectations. Highly recommended.<br />Tip: if you do not want the thick look, just add a teaspoon of water to a small bowl and poor the liquid in with the teaspoon of water. I used a a baby medicine syringe to drip the liquid onto my skin and my costume. Dries daily quick and doesn’t stay tacky. Looks super realistic! Used Halloween worked ok I bought this fake blood for a film where I needed to have the actress spitting blood out into a cup. It worked perfectly. The blood tastes minty but slightly like cough medicine and has a cough medicine after taste to it. It's thick like real blood and certainly looks like real blood. Make sure to brush your teeth after or rinse your mouth out because the red gets all over your teeth. But it's probably the best fake blood on the market. I would definitely buy this again This stage blood works so amazing with skin and latex so no matter the look  you’re going for it’ll work great!!! Highly recommend for special FX makeup or even to prank someone (but don’t say I told you to do it lol). Buy with confidence! I’ve tried many types of stage blood but was never as satisfied as I was with Ben Nye, so I recently decided to go back. Honestly it’s the best out there: Rich, realistic color and pooling; and sticks to skin, liquid latex, and any makeup. Dries quickly but still gives flexibility for dripping or other movement. good quality good taste It came quickly, is a great product, however the cap was split in half then packaged. I can't carry this easily. I love ben nye! Used this for a boudoir shoot. It turned out very good. Blood is realistic and tastes like mint. It didn’t stain either! I couldn’t believe that part.
",train
dff047e871d14fb19854af1e8963208f,"
Product ID: B00355HFQE
Title: MERMAID Vegetable Glycerin Bar Soap
Average Rating: 4.5
Number of Ratings: 29
Features: ['Juicy citrus and fresh florals swim through this aqua fresh bar.', 'Contain over 25% vegetable glycerin which moisturizes the skin with a rich lather that rinses cleanly away leaving the skin silky smooth.', 'Proprietary soap formula is vegan, Sodium lauryl sulfate and paraben free.', 'Made by hand in small batches for optimum fragrance.', 'Each bar is shrink-wrapped, great for gift giving.']
Description: ['Juicy citrus and fresh florals swim through this aqua fresh bar. HIGHLY MOISTURIZING - Glycerin is a humectant, attracting moisture and draws it deep into your skin to keep it hydrated. With over 25% glycerin in our soap, our soap moisturizes the skin with a rich lather that rinses cleanly away leaving the skin silky smooth. GREAT FOR FACE & BODY – When used as a face wash, glycerin soap will remove the excess oil from the skin to unclog pores. Unlike regular soaps, which dry out the skin and make it feel tight and flaky, our glycerin soaps keep the skin hydrated after use. HIGH QUALITY INGREDIENTS – Paraben Free, Cruelty Free and Vegan. Made in California, USA. GREAT FOR GIFTS - Each 5.8 oz. bar is shrink-wrapped and great for gift giving.']
Price: 6.95
Store: Primal Elements
Details: {""Item Form"": ""Bar"", ""Skin Type"": ""Dry"", ""Brand"": ""Primal Elements"", ""Scent"": ""Aqua Fresh,Citrus"", ""Material Feature"": ""Cruelty Free, Vegan"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""4.53 x 2.72 x 0.75 inches; 5.8 Ounces"", ""Item model number"": ""SWMER"", ""UPC"": ""640986102710""}
Review Text: COOL! Smells so good love it! Love it--just as pictured--nice scent!  Gonna get one for my sis who thinks she was a mermaid in a prior life!!! Gave this to my sister who loves florida and the beaches down there.  She laughed and enjoyed.
",train
957ab57f9c3247d2acb687bc847ae263,"
Product ID: B004ZWH3XG
Title: Garnier Fructis Color Sealer, Instant, Lightweight Leave-In, Color Shield, For Color-Treated Hair, 6 oz.
Average Rating: 4.4
Number of Ratings: 17
Features: ['Seals In Color And Conditions For Extra Softness', 'Infused With Acai Berry And Grape Seed Oil', 'For Color Treated Hair', 'Lightweight Formula']
Description: ['Proven to stop dry-out. Fight fade-out. The lightweight formula, infused with acai berry and grape seed oil, instantly seals in color for longer-lasting vibrancy while improving manageability and delivering lasting softness. Uva and uvb protectant help protect hair. Garnier fructis color shield instant color sealer lightweight leave-in instantly seals in color and conditions for extra softness.']
Price: 24.0
Store: Garnier
Details: {""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""1.35 x 2.39 x 6.63 inches; 7 Ounces"", ""Item model number"": ""K0814201"", ""UPC"": ""603084230662"", ""Manufacturer"": ""Garnier LLC""}
Review Text: It might just be my hair, but this makes my hair feel greasy anytime I use it.  It has a nice smell, but it just doesn't work for me. I was relieved to find this product available on Amazon.com.  The quality of the Color-Shield can not be beat by another manufacturer.  Until recently, it was readily available in all stores.  The conditioner is truly lightweight, and leaves the hair with lots of body.  Smells great.  Helps maintain color for weeks. Got this because I dyed my hair blue and needed some sort of sealant to keep from staining everything. Since I started using it the staining has lessened considerably, so I'm pleased. It also has a very light grape scent, which I like. I use about a dime/quarter sized amount and thoroughly massage it though my hair, focusing on the ends. Helps to smooth the hair, and I like that it helps protect hair from UV damage. Very light-weight product and doesn't make my hair feel greasy (I just make sure to not use more than a quarter-sized amount!).
",train
3a439d50e0724743a3fe153805bc39ff,"
Product ID: B0058WE96Q
Title: Clear Essence Specialist Skin Care Body Oil, 8 Ounce - Soothing Body Moisturizer and Toner
Average Rating: 4.4
Number of Ratings: 64
Features: []
Description: [""Clear Essence Specialist Skincare Body Oil is a unique moisturizing body oil that gives your skin a sultry sheen. Scented with a special blend of Vitamin A and E, Lavender and Rosemary oils and Chamomile extracts, it's great for all skin types. It lubricates and relieves dry, chapped skin while helping improve your skin's elasticity and reducing the appearance of scars.""]
Price: 12.0
Store: Clear Essence
Details: {""Brand"": ""Clear Essence"", ""Scent"": ""Lavender,Rosemary"", ""Item Form"": ""Cream"", ""Unit Count"": ""8.0 Ounce"", ""Number of Items"": ""1"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""0.39 x 0.39 x 0.39 inches; 8.8 Ounces"", ""Item model number"": ""CE10"", ""UPC"": ""793379258423 737192202805""}
Review Text: Can't comment on its specialist abilities or anything but hmmm... I smell amazing.<br />I rubbed the oil sparingly all over my body and all day I have this vanilla faint spice on me. It is amazing.<br />Plus it says oil but it is not REALLY oily, nice and thin, almost with the consistency of water. Fast shipping ,smell a little strong but it is okay I like it. Just started using my first bottle and is doing well so far. Subtle scent, with a lovely glow on the skin. I think it is not good for my skin I recently moved to the desert in California and my skin was forever dry. I tried so many different types of lotions to just end up dry and ashy at the end of the day. This oil smells delicious, it has lavender and rosemary and coconut oil. It glides on smoothly and evenly. It is a bit pricey at $8.00 but I pay that for coconut oil anyway. I would not recommend it for your face because it may clog pores because it does have mineral oil that is why I gave it four stars instead of five. It is great for the rest of your body especially your feet. Put some on your feet at night throw on some white tube socks and viola soft feet in the morning. It is great for massage as well. A friend recommended this product and I'm just hoping it's the same content inside because it's not well sealed, some of the oil already leaked inside the package by the time I opened it...so I'm hoping I got the right one for the cold season coming up.
",train
fff2f46265034d7f8c8c0a22c9079a06,"
Product ID: B00733ZHNW
Title: Kenzo Amour Eau De Parfum Spray for Women, 3.4 Ounce
Average Rating: 4.0
Number of Ratings: 17
Features: ['Notes consist of jasmine sambac, cedar, labdanum, aquatic green accord, peony, brown sugar accord, mint leaves, pink pepper, limone primo fiore', 'Used for fragrance, mainly for women', 'This is high quality products with good fragrance']
Description: ['Eau de parfum spray 3.4 oz (fuchsia edition) (unboxed) design house: kenzo year introduced: 2006 fragrance notes: blossom, rice, frangipani, rice, vanilla, white tea, cherry blossom, thanaka wood, frankincense recommended use: casual']
Price: 49.99
Store: Kenzo
Details: {""Brand"": ""Kenzo"", ""Item Form"": ""Spray"", ""Item Volume"": ""3.4 Fluid Ounces"", ""Scent"": ""Cedar,Vanilla,Mint"", ""Age Range (Description)"": ""Adult"", ""Product Dimensions"": ""3.94 x 4.33 x 4.72 inches; 3.4 Ounces"", ""Item model number"": ""KEN0013300088"", ""Manufacturer"": ""Nandansons (DROPSHIP)""}
Review Text: My son got this for me (but I had it on my wish list!) and I just love it!  It is a soft, feminine fragrance that I get lots of complements on.  I don't think I could ever get tired of this aroma, it's lovely! 👍🏻👍🏻 Arrived on time and it's the real deal PERFECT I love this perfume!!!  Shipping and contents are exactly as described.
",train
0bdce0b4c5b34969b8d237b3745c831f,"
Product ID: B009EAFH32
Title: Aveda Volumizing Tonic, 1.4 Ounce
Average Rating: 4.2
Number of Ratings: 108
Features: ['For fine to medium hair', 'Weightless volume', 'Adds shine']
Description: ['This remarkable tonic creates maximum volume on fine and medium hair. With certified organic aloe and wheat amino acids to help build body and add shine. Enhanced with a pure-fumetm aroma containing essential oils to uplift your senses.']
Price: 24.0
Store: Aveda
Details: {""Hair Type"": ""Fine"", ""Scent"": ""Unscented"", ""Liquid Volume"": ""40 Milliliters"", ""Item Form"": ""Clay"", ""Brand"": ""Aveda"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3 x 1.2 x 1.5 inches; 0.04 Ounces"", ""Item model number"": ""18084945537"", ""UPC"": ""018084945537 018084852019 885466436323 885569366077 018084908884"", ""Manufacturer"": ""Buy Smart LLC""}
Review Text: Misleading description. Have purchased same at same price and dbl the amount. Feel like bait and switch. Buying locally from now on
",train
abd2e6a9478d4674ba73ef8b9b66488f,"
Product ID: B00AR86E82
Title: TOOGOO(R) 500 Clear Sharp Ending Stiletto Acrylic False Nail Art Tips Salon
Average Rating: 3.7
Number of Ratings: 81
Features: []
Description: ['Cosemy 500 Clear Sharp Ending Stiletto Acrylic False Nail Art Tips Salon …']
Price: 5.99
Store: COSEMY
Details: {""Color"": ""Clear"", ""Size"": ""Large"", ""Material"": ""Acrylic"", ""Brand"": ""COSEMY"", ""Style"": ""French"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""6.5 x 4.7 x 0.5 inches; 1.6 Ounces"", ""Item model number"": ""HG80"", ""UPC"": ""888309278128""}
Review Text: They work, they aren't the greatest, but for the price, you get what you pay for. That is all I can say, They are inexpensive and they work for me, I am learning to do nails.  I like practicing doing my own nails so I don't have to run out. I received the package 14 days from the day i ordered, so it technically arrived early.. Without considering how crazy inexpensive the tips cost they worked very well, they are more on the &#34;ligh tduty&#34; side. Now overall considering the price you simply cannot beat this! loveddd doing them on myself!<br />Thanks Not as strong as ABS...but more durable after acrylic application....way better way to get those stillettos minus the filling. Worth the price. Since I am just learning the basics of doing nails this makes it easy for me to have fabulous nails! Thank you for making a great and affordable product! When you buy nails they come sizes 0-10. These don't. After such a long wait I was disappointed. Also it's easier to just shape square nails because once to clip them the point is no longer there. Will not be ordering again. Product arrived on time and I am satisfied with the way it was packaged. Perfect for doing my nails in the stiletto shape since it saves me some time in shaping the square tips. I love this. I've wanted stiletto nails for the longest. I found them here for cheap. Only thing I recommend you to so is cut them down a bit. As far as tips go they are exactly that. But most of mine weren't actually stiletto but had the points cracked off. All in all a nice product.  My wife told me however that once she cuts it, the strength of the nail weakens and it breaks more easily.  But once you keep it long it's a good buy.  For the price, it's not too bad. All in all a nice product.  My wife told me however that once she cuts it, the strength of the nail weakens and it breaks more easily.  But once you keep it long it's a good buy.  For the price, it's not too bad.
",train
